"","Month","Avg #OR","Avg #RT","Avg Tweets","# OR","# RT","#Total","Total Geo","Max Rt","MD RT","Max Like","MD Like"
"1",1,5947,30576.5,35501.5,1958346,7852504,9810850,1773,674151,166.5,334802,0
"2",2,10978,29918,40604.5,7624648,21944443,29568948,8103,469739,50,637589,0
"3",3,13095.5,44714.5,56283,12610824,46659589,59270412,19952,1064693,158.5,1255858,0
"4",4,30091,89513,119859.5,20591357,60301889,80893244,38213,649823,36,662005,0
"5",5,35163,99928.5,135709,26258213,73618083,99876289,47684,1007616,27,929811,0
"6",6,51033,142569,193096,34786076,95171388,129957461,58138,790652,38.5,882693,0
"7",7,53720.5,155042.5,209738.5,39611015,111876344,151487359,56808,615768,56,1287117,0
"8",8,51330.5,143551,195142,37596182,103098588,140694770,55837,2183434,44,860162,0
"9",9,50357,132106,183907.5,34863202,90127168,124990370,31766,9995,37,9999,0
"10",10,56461,165906,217451.5,3970566,11978955,15949521,2011,417113,99,785385,0
