"","Month","Text","Count"
"1","01","trump",85768
"2","01","soleimani",27914
"3","01","seto wing hong",25075
"4","01","jared kushner",20914
"5","01","liang wudong",18273
"6","02","trump",686033
"7","02","mike pence",89619
"8","02","li wenliang",74469
"9","02","god",61003
"10","02","donald trump",40477
"11","03","trump",1460697
"12","03","god",162496
"13","03","donald trump",68159
"14","03","pelosi",64808
"15","03","stupidity",51008
"16","04","trump",2278646
"17","04","god",254286
"18","04","fauci",230113
"19","04","donald trump",195212
"20","04","boris johnson",131069
"21","05","trump",112776
"22","05","fauci",34355
"23","05","obama",8123
"24","05","donald trump",7494
"25","05","democr",7273
