"","Month","M","SD","Mdn","Total","Type","NoDays"
"1","All_M","473166.791666667","716942.187366615","158843.5","34068009","All","72"
"2","Jan","72487.7","22964.9391612035","82153","724877","All","10"
"3","Feb","106369.931034483","40156.0817097583","86126","3084728","All","29"
"4","Mar","884331.580645161","884625.83154193","296543","27414279","All","31"
"5","Apr","1422062.5","647300.396740571","1422062.5","2844125","All","2"
"6","All_M","97732.1527777778","142501.031897886","34294","7036715","Org","72"
"7","Jan","13055.6","4073.78192292562","13671.5","130556","Org","10"
"8","Feb","27442.3793103448","9904.71589847769","23330","795829","Org","29"
"9","Mar","176177.774193548","174054.892526986","57674","5461511","Org","31"
"10","Apr","324409.5","146644.754029935","324409.5","648819","Org","2"
"11","All_M","375434.638888889","575200.657180257","122710.5","27031294","RT","72"
"12","Jan","59432.1","19321.9791570233","67037","594321","RT","10"
"13","Feb","78927.5517241379","30812.3822728394","64432","2288899","RT","29"
"14","Mar","708153.806451613","711501.858461963","236779","21952768","RT","31"
"15","Apr","1097653","500655.642710636","1097653","2195306","RT","2"
